GSA SFP Name,GSA SFP Key,NIST Name,NIST Category,Treasury Bureau Name,Treasury Agency Short Name,OMB Name,OMB Category,OMB Sub-Category,Parent,GSA SFP Entity Type,OMB Agency Code,OMB Bureau Code,Treasury Agency Code,Treasury Bureau Code,CGAC Agency Code,NIST Agency Code,NIST Bureau Code,OMB Agency Code Owner,OMB Bureau Code Owner,Treasury Agency Code Owner,Treasury Bureau Code Owner,CGAC Agency Code Owner,NIST Agency Code Owner,NIST Bureau Code Owner
DOS Bureau of International Information Programs (R/IIP),773,Office of International Information Programs,,,,,,,DOS Office of the Under Secretary for Public Diplomacy and Public Affairs (R),Bureau,014,,19,27,019,19,59,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"DOS Ofc of the Under Secy for Civilian Security, Democracy, and Human Rights (J)",774,Office of the Under Secretary for Global Affairs,,,,,,,DOS Office of the Secretary (S),Bureau,014,,19,27,019,19,41,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"DOS Bureau of Democracy, Human Rights, and Labor (J/DRL)",775,"Bureau of Democracy, Human Rights and Labor",,,,,,,"DOS Ofc of the Under Secy for Civilian Security, Democracy, and Human Rights (J)",Bureau,014,,19,27,019,19,36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOS Bureau of International Narcotics and Law Enforcement Affairs (J/INL),776,Bureau of International Narcotics and Law Enforcement Affairs,,BUREAU OF INTERNATIONAL NARCOTICS MATTERS,STATE,,,,"DOS Ofc of the Under Secy for Civilian Security, Democracy, and Human Rights (J)",Bureau,014,,19,08,019,19,42,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOS Bureau of Oceans and Int Environmental and Scientific Affairs (E/OES),777,Bureau of Oceans and International Environmental and Scientific Affairs,,OCEAN AND INTERNATIONAL ENVIRONMENTAL SCIENTIFIC AFFAIRS,STATE,,,,"DOS Ofc of the Under Secy for Economic Growth, Energy, and the Environment (E)",Bureau,014,,19,22,019,19,48,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"DOS Bureau of Population, Refugees, and Migration (J/PRM)",778,"Bureau of Population, Refugees and Migration",,BUREAU OF REFUGEE PROGRAMS,STATE,,,,"DOS Ofc of the Under Secy for Civilian Security, Democracy, and Human Rights (J)",Bureau,014,,19,12,019,19,54,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOS Cultural Property Advisory Committee (CPAC),781,Cultural Property Advisory Committee,Associated Federal Organization,,,,,,DOS Bureau of Educational and Cultural Affairs (R/ECA),Ind Agency,014,,19,27,019,19,62,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Advisory Commission on Public Diplomacy (ACPD),782,U.S. Advisory Commission on Public Diplomacy,Associated Federal Organization,,,,,,DOS Office of the Under Secretary for Public Diplomacy and Public Affairs (R),Ind Agency,014,,19,27,019,19,63,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOS J. William Fulbright Foreign Scholarship Board (FFSB),783,J. William Fulbright Foreign Scholarship Board,Associated Federal Organization,,,,,,DOS Bureau of Educational and Cultural Affairs (R/ECA),Ind Agency,014,,19,27,019,19,64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Ctr for Cult and Tech Interchange between East and West (East-West Center) (EWC),784,Center for Cultural and Technical Interchange between East and West,Associated Federal Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,19,65,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
National Endowment for Democracy (NED),788,National Endowment for Democracy,Associated Federal Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,19,69,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Eisenhower Exchange Fellowship Program (EEF),789,Eisenhower Exchange Fellowship Program,Associated Federal Organization,EISENHOWER EXCHANGE FELLOWSHIP PROGRAM TRUST FUND,IGOI,,,,"Industry, Non-Profits, Associations",Nonprofit,,,95,05,570,19,5A,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Israeli Arab Scholarship Program (IASP),790,Israeli Arab Scholarship Program,Associated Federal Organization,,,,,,DOS Bureau of Educational and Cultural Affairs (R/ECA),Bureau,014,,19,27,019,19,5B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US and Canada International Boundary Commission (IBC),792,U.S. and Canada International Boundary Commission,Associated Federal Organization,,,,,,International Governmental Organizations,IGO,,,,,,19,BC,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US and Canada International Joint Commission (IJC),793,U.S. and Canada International Joint Commission,Associated Federal Organization,,,,,,International Governmental Organizations,IGO,,,,,,19,BJ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US and Mexico International Boundary and Water Commission (IBWC),794,U.S. and Mexico International Boundary and Water Commission,Associated Federal Organization,,,,,,International Governmental Organizations,IGO,,,,,,19,BM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US and Canada Border Environment Cooperation Commission (BECC),795,U.S. and Canada Border Environment Cooperation Commission,Associated Federal Organization,,,,,,International Governmental Organizations,IGO,,,,,,19,BE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
American Institute in Taiwan (AIT),796,American Institute in Taiwan,Federally Aided Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,19,91,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Asia Foundation,797,Asia Foundation,Federally Aided Organization,,,,,,"Industry, Non-Profits, Associations",Nonprofit,,,,,,19,93,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Department of Transportation (DOT),798,"TRANSPORTATION, Department of",,DEPARTMENT OF TRANSPORTATION,DOT,Department of Transportation,Department of Transportation,,Federal Executive Branch,Agency,021,00,69,00,069,69,00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT Office of the Secretary (OST),799,Office of the Secretary of Transportation,,OFFICE OF THE SECRETARY,DOT,Office of the Secretary,Department of Transportation,,US Department of Transportation (DOT),Bureau,021,04,69,01,069,69,0S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT Deputy Secretary,801,Deputy Secretary of Transportation,,,,,,,DOT Office of the Secretary (OST),Bureau,021,04,69,01,069,69,17,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Associate Deputy Secretary/Office of Intermodalism,802,Associate Deputy Secretary/Office of Intermodalism,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,02,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Office of Drug and Alcohol Policy and Compliance (ODAPC),803,Office of Drug and Alcohol Policy and Compliance,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Office of General Counsel (OGC),804,Office of General Counsel,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Assistant Secretary for Administration,805,Assistant Secretary for Administration,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Assistant Secretary for Budget and Programs/Chief Financial Officer,806,Assistant Secretary for Budget and Programs/Chief Financial Officer,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Assistant Secretary for Governmental Affairs,807,Assistant Secretary for Governmental Affairs,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,07,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Assistant Secretary for Transportation Policy,809,Assistant Secretary for Transportation Policy,,,,,,,DOT Under Secretary for Policy,Bureau,021,04,69,01,069,69,09,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Office of Civil Rights (DOCR),810,Office of Civil Rights,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Executive Secretariat (ES),812,Executive Secretariat,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"DOT Office of Intelligence, Security and Emergency Response",813,"Office of Intelligence, Security and Emergency Response",,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Office of Small and Disadvantaged Business Utilization (OSDBU),814,Office of Small and Disadvantaged Business Utilization Business Resources Center,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Office of the Chief Information Officer (OCIO),815,Office of the Chief Information Officer,,,,,,,DOT Deputy Secretary,Bureau,021,04,69,01,069,69,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Assistant Secretary for Aviation and International Affairs,816,Assistant Secretary for Aviation and International Affairs,,,,,,,DOT Under Secretary for Policy,Bureau,021,04,69,01,069,69,22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Office of Inspector General (OIG),817,Office of Inspector General,,OFFICE OF INSPECTOR GENERAL,DOT,Office of Inspector General,Department of Transportation,,DOT Deputy Secretary,Bureau,021,56,69,04,069,69,04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Federal Aviation Administration (FAA),818,Federal Aviation Administration,,FEDERAL AVIATION ADMINISTRATION,DOT,Federal Aviation Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,12,69,05,069,69,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAA Office of Commercial Space Transportation,819,Office of Commercial Space Transportation,,,,,,,Federal Aviation Administration (FAA),Bureau,021,12,69,05,069,69,13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DOT Federal Highway Administration (FHA),820,Federal Highway Administration,,FEDERAL HIGHWAY ADMINISTRATION,DOT,Federal Highway Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,15,69,07,069,69,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT Federal Railroad Administration (FRA),821,Federal Railroad Administration,,FEDERAL RAILROAD ADMINISTRATION,DOT,Federal Railroad Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,27,69,09,069,69,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Maritime Administration (MARAD),822,Maritime Administration,,MARITIME ADMINISTRATION,DOT,Maritime Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,70,69,10,069,69,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT National Highway Traffic Safety Administration (NHTSA),823,National Highway Traffic Safety Administration,,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,DOT,National Highway Traffic Safety Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,18,69,12,069,69,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT Research and Innovative Technology Administration (RITA),824,Research and Innovative Technology Administration,,DOT/RES&INNOV TECH ADMIN-RITA,DOT,,,,DOT Assistant Secretary for Research and Technology,Bureau,021,04,69,17,069,69,43,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Saint Lawrence Seaway Development Corporation (SLSDC),825,Saint Lawrence Seaway Development Corporation,,ST. LAWRENCE SEAWAY DEVELOPMENT CORPORATION,DOT,,,,DOT Deputy Secretary,GSE,021,04,69,11,069,69,47,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
DOT Federal Motor Carrier Safety Administration (FMCSA),826,Federal Motor Carrier Safety Administration,,"NATIONAL HWY INSTITUTE, FED MOTOR CARRIER SAFETY ADMIN",DOT,Federal Motor Carrier Safety Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,17,69,18,069,69,53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT Federal Transit Administration (FTA),827,Federal Transit Administration,,FEDERAL TRANSIT ADMINISTRATION,DOT,Federal Transit Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,36,69,15,069,69,55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT Pipeline and Hazardous Materials Safety Administration (PHMSA),828,Pipeline and Hazardous Materials Safety Administration,,PHMSA-PIPELINE&HZRDS MATERIAL SFTY ADMIN,DOT,Pipeline and Hazardous Materials Safety Administration,Department of Transportation,,DOT Deputy Secretary,Bureau,021,50,69,57,069,69,57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DOT Surface Transportation Board (STB),829,Surface Transportation Board,Associated Federal Organization,SURFACE TRANSPORTATION BOARD,DOT,Surface Transportation Board,Department of Transportation,,DOT Office of the Secretary (OST),Ind Agency,021,61,69,14,069,69,59,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
National Railroad Passenger Corporation (Amtrak),830,National Railroad Passenger Corporation (AMTRAK),Federally Aided Organization,,,,,,"Industry, Non-Profits, Associations",GSE,,,00,,575,69,91,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Department of the Treasury (TD),831,"TREASURY, Department of the",,DEPARTMENT OF THE TREASURY,TREAS,Department of the Treasury,Department of the Treasury,,Federal Executive Branch,Agency,015,00,20,00,020,20,00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TD Departmental Offices,832,Departmental Offices,,,,,,,TD Assistant Secretary for Management and Chief Financial Officer,Bureau,015,05,20,19,020,20,01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
TD Office of Inspector General (OIG),833,Inspector General,,OFFICE OF THE INSPECTOR GENERAL,TREAS,,,,TD Office of the Secretary,Bureau,015,05,20,30,020,20,04,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
US Treasury Inspector General for Tax Administration (TIGTA),834,Office of the Inspector General for Tax Administration,,,,,,,TD Office of the Secretary,Bureau,015,05,20,38,020,20,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
TD Bureau of the Fiscal Service (BFS),835,,,,,Fiscal Service,Department of the Treasury,,TD Fiscal Assistant Secretary,Bureau,015,12,20,36,020,20,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TD Office of the Comptroller of the Currency (OCC),838,Office of the Comptroller of the Currency,,OFFICE OF THE COMPTROLLER OF THE CURRENCY,TREAS,Comptroller of the Currency,Department of the Treasury,,TD Deputy Secretary,Bureau,015,57,20,03,020,20,46,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TD Office of Thrift Supervision (OTS),839,Office of Thrift Supervision,,OFFICE OF THRIFT SUPERVISION,TREAS,,,,TD Deputy Secretary,Bureau,015,05,20,31,020,20,47,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
TD Bureau of Engraving and Printing (BEP),840,Bureau of Engraving and Printing,,BUREAU OF ENGRAVING AND PRINTING,TREAS,Bureau of Engraving and Printing,Department of the Treasury,,Treasurer of the United States,Bureau,015,20,20,09,020,20,41,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Mint,841,United States Mint,,UNITED STATES MINT-WASHINGTON DC,TREAS,United States Mint,Department of the Treasury,,Treasurer of the United States,Bureau,015,25,20,13,020,20,44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TD Alcohol and Tobacco Tax and Trade Bureau (TTB),842,Alcohol and Tobacco Tax and Trade Bureau,,ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,TREAS,Alcohol and Tobacco Tax and Trade Bureau,Department of the Treasury,,TD Assistant Secretary for Tax Policy,Bureau,015,13,20,15,020,20,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TD Financial Crimes Enforcement Network (FinCEN),843,Financial Crimes Enforcement Network,,TD FINCEN,TREAS,Financial Crimes Enforcement Network,Department of the Treasury,,TD Under Secretary for Terrorism & Financial Intelligence,Bureau,015,04,20,21,020,20,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
US Internal Revenue Service (IRS),844,Internal Revenue Service,,INTERNAL REVENUE SERVICE NATIONAL OFFICE,TREAS,Internal Revenue Service,Department of the Treasury,,TD Deputy Secretary,Bureau,015,45,20,11,020,20,50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Federal Financing Bank (FFB),845,Federal Financing Bank,Associated Federal Organization,,,Federal Financing Bank,Department of the Treasury,,TD Office of the Secretary,GSE,015,11,20,19,020,20,61,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
TD Community Development Financial Institutions (CDFI),846,Community Development Financial Institutions,Associated Federal Organization,COMMUNITY DEVEL INST FND,TREAS,,,,TD Assistant Secretary for Financial Institutions,GSE,015,05,20,50,020,20,66,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
District of Columbia (DC),847,District of Columbia,Federally Aided Organization,,,,,,Independent Federal Agencies,Ind Agency,,,95,00,,20,93,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
US Department of Veterans Affairs (VA),848,"VETERANS AFFAIRS, Department of",,DEPARTMENT OF VETERANS AFFAIRS,VA,Department of Veterans Affairs,Department of Veterans Affairs,,Federal Executive Branch,Agency,029,00,36,00,036,36,00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VA Office of the Secretary,849,Office of the Secretary,,,,,,,US Department of Veterans Affairs (VA),Bureau,029,,36,00,036,36,01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Office of the Deputy Secretary,850,Office of the Deputy Secretary,,,,,,,VA Office of the Secretary,Bureau,029,,36,00,036,36,02,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Center for Minority Veterans (CMV),851,Center for Minority Veterans,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Center for Women Veterans (CWV),852,Center for Women Veterans,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Office of Employment Discrimination Complaint Adjudication (OEDCA),853,Office of Employment Discrimination Complaint Adjudication,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,17,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Chief of Staff,854,Chief of Staff,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Special Assistant to the Secretary for Veterans Service Organizations Liaison,855,Special Assistant for Veterans Service Organization Liaison,,,,,,,VA Office of the Secretary,Bureau,029,,36,00,036,36,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Office of the General Counsel (OGC),856,General Counsel,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Office of the Inspector General (OIG),857,Inspector General,,INSPECTOR GENERAL,VA,,,,VA Office of the Deputy Secretary,Bureau,029,,36,01,036,36,04,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
VA Board of Veterans Appeals (BVA),858,Board of Veterans Appeals,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Office of Small and Disadvantaged Business Utilization (OSDBU),860,Office of Small and Disadvantaged Business Utilization,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Under Secretary for Health,861,Under Secretary for Health / Veterans Health Administration,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Veterans Health Administration (VHA),862,Under Secretary for Health / Veterans Health Administration,,VETERAN'S HEALTH ADMINISTRATION,VA,Veterans Health Administration,Department of Veterans Affairs,,VA Under Secretary for Health,Bureau,029,15,36,09,036,36,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VA Under Secretary for Memorial Affairs,863,Under Secretary for Memorial Affairs/National Cemetery System,,NATIONAL CEMETERY ADMINISTRATION,VA,,,,VA Office of the Deputy Secretary,Bureau,029,,36,10,036,36,30,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
VA National Cemetery System (NCS),864,Under Secretary for Memorial Affairs/National Cemetery System,,,,,,,VA Under Secretary for Memorial Affairs,Bureau,029,,36,10,036,36,30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Under Secretary for Benefits,865,Under Secretary for Benefits / Veterans Benefit Administration,,VETERANS BENEFITS ADMINISTRATION,VA,,,,VA Office of the Deputy Secretary,Bureau,029,,36,11,036,36,40,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
VA Veterans Benefits Administration (VBA),866,Under Secretary for Benefits / Veterans Benefit Administration,,,,Benefits Programs,Department of Veterans Affairs,,VA Under Secretary for Benefits,Bureau,029,25,36,11,036,36,40,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
VA Assistant Secretary for Management,867,Assistant Secretary for Management,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Immediate Office of Assistant Secretary for Management,868,Immediate Office of Assistant Secretary for Management,,,,,,,VA Assistant Secretary for Management,Bureau,029,,36,00,036,36,28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Budget,869,Deputy Assistant Secretary for Budget,,,,,,,VA Assistant Secretary for Management,Bureau,029,,36,00,036,36,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Financial Management,870,Deputy Assistant Secretary for Financial Management,,,,,,,VA Assistant Secretary for Management,Bureau,029,,36,00,036,36,27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Acquisition and Materiel Management,871,Deputy Assistant Secretary for Acquisition and Materiel Management,,OFFICE OF TRIBAL,VA,,,,VA Assistant Secretary for Management,Bureau,029,,36,03,036,36,43,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
VA Office of Asset Enterprise Management (OAEM),872,Director _ Asset Enterprise Management,,,,,,,VA Assistant Secretary for Management,Bureau,029,,36,00,036,36,44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Assistant Secretary for Policy and Planning,873,Assistant Secretary for Policy and Planning,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Immediate Office of Assistance Secretary for Policy and Planning (OPP),874,Immediate Office of Assistance Secretary for Policy and Planning,,,,,,,VA Assistant Secretary for Policy and Planning,Bureau,029,,36,00,036,36,24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Policy,875,Deputy Assistant Secretary for Policy,,,,,,,VA Assistant Secretary for Policy and Planning,Bureau,029,,36,00,036,36,22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Planning and Evaluation,876,Deputy Assistant Secretary for Planning and Evaluation,,,,,,,VA Assistant Secretary for Policy and Planning,Bureau,029,,36,00,036,36,23,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Security Preparedness,877,Deputy Assistant Secretary for Security Preparedness,,,,,,,"VA Assistant Secretary for Operations, Security and Preparedness",Bureau,029,,36,00,036,36,55,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Security and Law Enforcement,878,Deputy Assistant Secretary for Security and Law Enforcement,,,,,,,"VA Assistant Secretary for Operations, Security and Preparedness",Bureau,029,,36,00,036,36,56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Assistant Secretary for Public and Intergovernmental Affairs,879,Assistant Secretary for Public and Intergovernmental Affairs,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,07,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Immediate Ofc of Assistant Secy for Public and Intergov Affairs (OPIA),880,Immediate Office of Assistance Secretary for Public and Intergovernmental Affairs,,,,,,,VA Assistant Secretary for Public and Intergovernmental Affairs,Bureau,029,,36,00,036,36,36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secy for Intergovernmental Affairs and International Affairs,881,Deputy Assistant Secretary for Intergovernmental Affairs and International Affairs,,,,,,,VA Assistant Secretary for Public and Intergovernmental Affairs,Bureau,029,,36,00,036,36,37,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Public Affairs,882,Deputy Assistant Secretary for Public Affairs,,,,,,,VA Assistant Secretary for Public and Intergovernmental Affairs,Bureau,029,,36,00,036,36,38,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Assistant Secretary for Congressional and Legislative Affairs,883,Assistant Secretary for Congressional and Legislative Affairs,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,08,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Immediate Office of Assistant Secretary for Congressional Affairs,884,Immediate Office of Assistant Secretary for Congressional Affairs,,,,,,,VA Assistant Secretary for Congressional and Legislative Affairs,Bureau,029,,36,00,036,36,46,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Director of Congressional Affairs,885,"Director, Congressional Affairs",,,,,,,VA Assistant Secretary for Congressional and Legislative Affairs,Bureau,029,,36,00,036,36,47,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Legislative Affairs,886,Deputy Assistant Secretary for Legislative Affairs,,,,,,,VA Assistant Secretary for Congressional and Legislative Affairs,Bureau,029,,36,00,036,36,48,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Assistant Secretary for Human Resources and Administration (HR&A),887,Assistant Secretary for Human Resources and Administration,,,,,,,VA Office of the Deputy Secretary,Bureau,029,,36,00,036,36,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Immediate Office of Assistant Secy for Human Resources and Administration,888,Immediate Office of Assistant Secretary for Human Resources and Administration,,,,,,,VA Assistant Secretary for Human Resources and Administration (HR&A),Bureau,029,,36,00,036,36,49,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Deputy Assistant Secretary for Diversity and Equal Employment Opportunity,889,Deputy Assistant Secretary for Diversity and Equal Employment Opportunity,,,,,,,VA Assistant Secretary for Human Resources and Administration (HR&A),Bureau,029,,36,00,036,36,32,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VA Director of the Office of Administration (OA),890,Director _ Office of Administration,,HUMAN RESOURCES & ADMINISTRATION,VA,,,,VA Assistant Secretary for Human Resources and Administration (HR&A),Bureau,029,,36,14,036,36,33,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
